,Actual,Predicted
0,0.2184177848124314,0.20134121
1,0.2240938970051336,0.21161231
2,0.229526546265914,0.22664726
3,0.2336985326127759,0.24070147
4,0.1903890769428584,0.24679403
5,0.2368034684851845,0.21197538
6,0.2587683316008676,0.22759897
7,0.251873576964191,0.25133222
8,0.2536988997061008,0.25258577
9,0.2605062451263723,0.24703297
10,0.2697580903805244,0.25356314
11,0.2357585510045421,0.26125264
12,0.2120672265035131,0.23535365
13,0.1875671348766288,0.20283034
14,0.1346420991411676,0.18034416
15,0.1011421386329893,0.13695277
16,0.0642452370861499,0.09749346
17,0.0885888942358245,0.065809354
18,0.1099322761631366,0.06082364
19,0.1043948686211067,0.07594687
20,0.122717668035749,0.08370979
21,0.0645587504065119,0.10634418
22,0.0443591961320078,0.091349475
23,0.0028642456666634,0.0629295
24,0.0,0.018471917
25,0.0532866324234984,-0.0021714522
26,0.0618574072842835,0.026557688
